,countries,Year,CO2 Total Mt,CO2 Kg/1k$,CO2 Tons per capita,Generation GWh,consumption GWh,consumption per capita kW,installed capacity MW,Renewable installed capacity MW,Renewable generation GWh,Renewable percentage %,Population
0,france,2020,279.991,0.10,4.26,"553,714","472,699","7,009.2",,"51,613","131,197",23.69%,"67,439,599"
1,france,2019,319.613,0.10,4.88,"545,014","449,235","6,673.1","137,082","48,533","116,141",21.31%,"67,320,216"
2,france,2018,327.585,0.11,5.02,"551,544","449,957","6,698.0","133,531","45,874","115,984",21.03%,"67,177,636"
3,france,2017,336.046,0.11,5.17,"533,956","455,228","6,791.8","133,088","42,864","95,159",17.82%,"67,026,224"
4,france,2016,331.913,0.11,5.13,"536,708","457,729","6,851.2","133,151","39,908","101,197",18.86%,"66,809,816"
5,france,2015,329.518,0.11,5.11,"551,038","450,835","6,765.4","132,219","37,827","94,122",17.08%,"66,638,391"
6,france,2014,323.707,0.11,5.04,"543,299","441,582","6,644.5","130,096","35,580","96,057",17.68%,"66,458,153"
7,france,2013,356.534,0.13,5.58,"551,147","463,901","7,011.2","130,050","33,713","101,340",18.39%,"66,165,980"
8,france,2012,361.736,0.13,5.68,"543,941","462,316","7,047.5","130,527","32,099","87,425",16.07%,"65,600,350"
9,france,2011,360.566,0.13,5.69,"543,629","451,021","6,909.3","127,175","29,795","68,177",12.54%,"65,276,983"
10,france,2010,378.429,0.14,6.00,"540,153","474,026","7,295.1","124,140","26,724","79,592",14.74%,"64,978,721"
11,france,2009,370.545,0.14,5.91,"507,649","446,837","6,910.7","118,941","24,300","71,353",14.06%,"64,658,856"
12,france,2008,383.599,0.14,6.15,"544,243","462,774","7,191.5","117,518","22,822","75,293",13.83%,"64,350,226"
13,france,2007,390.312,0.14,6.30,"538,445","450,019","7,030.8","116,353","21,392","67,421",12.52%,"64,007,193"
14,france,2006,397.607,0.15,6.46,"542,979","447,833","7,036.4","115,519","20,494","63,351",11.67%,"63,645,065"
15,france,2005,407.886,0.16,6.66,"544,677","452,118","7,150.4","115,559","19,698","57,435",10.54%,"63,229,635"
16,france,2004,404.900,0.16,6.65,"540,598","446,957","7,120.2","116,719","19,335","65,379",12.09%,"62,772,870"
17,france,2003,404.552,0.16,6.68,"533,602","435,439","6,990.3","116,571","19,217","64,326",12.06%,"62,292,241"
18,france,2002,400.195,0.16,6.64,"526,142","418,210","6,760.2","116,994","18,940","65,338",12.42%,"61,864,088"
19,france,2001,405.706,0.16,6.77,"519,452","420,453","6,845.1","116,149","18,656","78,826",15.17%,"61,424,036"
20,france,2000,401.754,0.17,6.74,"509,634","409,744","6,719.4","114,870","18,552","70,587",13.85%,"60,979,315"
21,france,1999,403.731,0.17,6.81,"494,518","401,221","6,626.8","113,917","17,947","75,546",15.28%,"60,545,022"
22,france,1998,410.074,0.18,6.95,"482,398","393,359","6,538.7","111,813","18,024","64,724",13.42%,"60,158,533"
23,france,1997,388.120,0.18,6.60,"476,755","381,735","6,369.2","113,380","18,018","66,391",13.93%,"59,934,884"
24,france,1996,396.070,0.19,6.77,"483,443","382,650","6,406.7","109,508","18,000","67,328",13.93%,"59,726,386"
25,france,1995,381.247,0.18,6.55,"467,830","367,839","6,179.8","107,429","17,898","74,902",16.01%,"59,522,297"
26,france,1994,372.370,0.18,6.42,"452,950","363,556","6,129.2","107,047","17,902","80,490",17.77%,"59,315,139"
27,france,1993,377.895,0.19,6.54,"447,371","356,080","6,024.6","107,393","17,837","66,536",14.87%,"59,104,320"
28,france,1992,397.869,0.20,6.92,"437,974","355,161","6,031.3","105,032","17,767","70,688",16.14%,"58,885,929"
29,france,1991,409.187,0.21,7.15,"428,517","345,386","5,893.5","104,165","17,655","58,607",13.68%,"58,604,851"
30,france,1990,385.482,0.20,6.77,"396,184","323,043","5,539.8","103,228","17,717","54,931",13.87%,"58,313,439"
31,france,1989,391.181,,6.90,"384,475","316,531","5,454.7","99,958","20,338","47,783",12.43%,"58,029,398"
32,france,1988,375.963,,6.67,"370,643","309,385","5,363.1","100,535","20,174","75,340",20.33%,"57,688,189"
33,france,1987,376.068,,6.71,"355,869","301,429","5,256.0","97,462","19,991","70,041",19.68%,"57,349,954"
34,france,1986,382.631,,6.87,"341,513","292,670","5,131.5","92,233","19,786","62,356",18.26%,"57,033,941"
35,france,1985,394.707,,7.12,"324,265","277,937","4,898.5","86,311","19,034","61,570",18.99%,"56,738,825"
36,france,1984,405.441,,7.36,"306,101","260,163","4,607.8","84,429","18,661","65,465",21.39%,"56,461,236"
37,france,1983,416.896,,7.61,"279,984","247,079","4,397.9","77,747","18,400","68,771",24.56%,"56,180,589"
38,france,1982,435.070,,7.98,"264,508","242,635","4,339.1","73,613","18,247","70,244",26.56%,"55,918,081"
39,france,1981,457.065,,8.42,"261,858","239,299","4,305.2","70,591","17,630","71,586",27.34%,"55,583,694"
40,france,1980,507.519,,9.39,"250,498","236,442","4,400.5","63,416","17,431","69,375",27.69%,"53,731,000"
41,uk,2020,313.729,0.11,4.66,"299,524","289,688","4,322.1",,"48,048","141,011",47.08%,"67,025,542"
42,uk,2019,359.419,0.12,5.37,"309,701","304,140","4,537.7","103,304","47,165","124,898",40.33%,"66,647,112"
43,uk,2018,376.200,0.12,5.65,"313,504","306,907","4,605.0","107,839","44,291","114,140",36.41%,"66,273,576"
44,uk,2017,384.037,0.13,5.80,"317,879","305,804","4,614.3","108,821","40,278","103,034",32.41%,"65,844,142"
45,uk,2016,397.637,0.13,6.04,"318,009","309,424","4,699.3","97,144","35,648","87,833",27.62%,"65,379,044"
46,uk,2015,419.486,0.14,6.41,"318,625","311,124","4,758.8","95,827","30,966","87,559",27.48%,"64,853,393"
47,uk,2014,434.235,0.15,6.68,"316,064","309,137","4,766.7","96,058","24,935","66,957",21.18%,"64,351,203"
48,uk,2013,472.204,0.17,7.31,"334,076","321,957","5,003.1","92,957","19,999","55,159",16.51%,"63,905,342"
49,uk,2012,485.581,0.18,7.56,"338,603","322,173","5,041.4","95,332","15,858","43,331",12.80%,"63,495,088"
50,uk,2011,462.874,0.17,7.25,"342,244","320,476","5,047.3","93,078","12,728","37,003",10.81%,"63,022,532"
51,uk,2010,502.020,0.19,7.93,"355,193","330,970","5,251.6","92,948","9,524","27,564",7.76%,"62,510,197"
52,uk,2009,486.374,0.19,7.75,"348,969","323,682","5,178.1","86,739","7,992","26,942",7.72%,"62,042,343"
53,uk,2008,536.551,0.20,8.64,"360,668","343,588","5,538.0","84,884","6,859","23,568",6.53%,"61,571,647"
54,uk,2007,552.345,0.20,8.99,"367,597","344,982","5,602.9","83,538","5,772","21,451",5.84%,"61,073,279"
55,uk,2006,562.752,0.21,9.26,"368,400","348,402","5,704.7","83,629","5,173","20,450",5.55%,"60,620,361"
56,uk,2005,562.096,0.22,9.32,"370,602","351,022","5,790.5","82,491","4,792","19,443",5.25%,"60,182,050"
57,uk,2004,564.290,0.23,9.42,"368,692","343,007","5,699.5","80,859","3,872","16,263",4.41%,"59,793,759"
58,uk,2003,564.288,0.23,9.47,"372,596","342,686","5,731.1","78,670","3,513","13,438",3.61%,"59,501,394"
59,uk,2002,549.815,0.23,9.26,"362,381","339,832","5,711.3","76,943","3,116","13,945",3.85%,"59,239,564"
60,uk,2001,565.449,0.24,9.56,"360,222","338,544","5,714.8","79,958","3,040","12,028",3.34%,"58,999,781"
61,uk,2000,552.002,0.24,9.36,"352,537","335,568","5,687.6","78,397","2,685","10,438",2.96%,"58,785,246"
62,uk,1999,546.072,0.25,9.30,"343,971","328,353","5,585.6","74,446","1,477","10,121",2.94%,"58,579,685"
63,uk,1998,550.168,0.26,9.40,"340,083","322,942","5,512.9","72,496","1,475","9,181",2.70%,"58,394,596"
64,uk,1997,547.954,0.27,9.39,"326,543","315,979","5,411.1","72,210","1,488","7,387",2.26%,"58,239,312"
65,uk,1996,571.913,0.30,9.83,"328,457","315,792","5,422.3","72,844","1,455","6,068",1.85%,"58,094,587"
66,uk,1995,553.935,0.29,9.55,"307,633","297,159","5,115.1","69,758","1,432","7,235",2.35%,"57,943,472"
67,uk,1994,561.848,0.30,9.72,"302,355","287,214","4,956.8","68,184","1,425","7,255",2.40%,"57,788,017"
68,uk,1993,566.436,0.32,9.83,"300,042","293,930","5,086.4","68,113","1,425","5,819",1.94%,"57,649,210"
69,uk,1992,582.445,0.34,10.13,"299,641","292,523","5,074.2","67,511","1,423","6,407",2.14%,"57,511,594"
70,uk,1991,596.085,0.35,10.40,"301,413","291,603","5,070.3","70,315","1,415","5,321",1.77%,"57,338,199"
71,uk,1990,587.938,0.34,10.28,"297,670","284,384","4,959.8","73,082","1,110","5,806",1.95%,"57,156,972"
72,uk,1989,586.941,,10.29,"294,582","282,231","4,937.8","74,587","1,424","6,095",2.07%,"56,996,450"
73,uk,1988,601.393,,10.58,"288,315","277,391","4,866.8","73,216","4,196","6,204",2.15%,"56,860,203"
74,uk,1987,600.519,,10.59,"283,498","268,441","4,721.1","70,597","4,197","6,295",2.22%,"56,743,897"
75,uk,1986,594.681,,10.51,"279,070","258,260","4,551.3","69,477","4,192","4,768",1.71%,"56,618,895"
76,uk,1985,581.521,,10.30,"274,562","249,959","4,414.8","70,383","4,190","4,081",1.49%,"56,481,641"
77,uk,1984,554.897,,9.84,"261,707","238,652","4,225.3","70,016","4,188","3,993",1.53%,"56,362,502"
78,uk,1983,572.195,,10.16,"257,115","235,909","4,185.6","68,239","2,721","4,548",1.77%,"56,303,194"
79,uk,1982,580.754,,10.32,"253,864","233,385","4,145.2","69,166","2,451","4,543",1.79%,"56,324,088"
80,uk,1981,594.676,,10.57,"258,792","238,669","4,237.4","69,098","2,451","4,369",1.69%,"56,343,569"
81,uk,1980,614.473,,10.92,"264,918","243,387","4,319.7","73,608","2,451","3,921",1.48%,"56,284,863"
82,italy,2020,297.352,0.13,5.03,"271,877","286,375","4,832.7",,"52,473","120,165",44.20%,"59,257,566"
83,italy,2019,332.855,0.13,5.62,"283,008","303,331","5,085.9","115,462","52,117","117,946",41.68%,"59,641,488"
84,italy,2018,342.231,0.13,5.77,"276,287","302,198","5,052.1","115,226","50,564","116,592",42.20%,"59,816,673"
85,italy,2017,347.702,0.14,5.86,"281,410","300,503","4,968.3","114,248","49,528","106,310",37.78%,"60,483,973"
86,italy,2016,351.455,0.14,5.91,"275,928","294,202","4,855.7","114,168","48,641","110,490",40.04%,"60,589,445"
87,italy,2015,355.803,0.15,5.98,"270,097","296,758","4,891.7","116,964","47,565","111,120",41.14%,"60,665,551"
88,italy,2014,345.765,0.14,5.80,"267,184","291,449","4,793.9","121,683","46,672","122,738",45.94%,"60,795,612"
89,italy,2013,364.339,0.15,6.11,"276,053","297,004","4,886.3","124,515","46,010","114,171",41.36%,"60,782,668"
90,italy,2012,397.044,0.16,6.65,"283,821","305,924","5,125.6","124,599","43,824","94,596",33.33%,"59,685,227"
91,italy,2011,418.003,0.16,6.99,"286,582","311,466","5,244.1","118,806","37,934","85,490",29.83%,"59,394,207"
92,italy,2010,426.993,0.17,7.15,"283,835","307,425","5,178.6","106,610","26,607","79,245",27.92%,"59,364,690"
93,italy,2009,417.590,0.17,7.00,"273,349","297,956","5,033.9","101,569","22,880","71,139",26.03%,"59,190,143"
94,italy,2008,469.859,0.18,7.90,"295,932","315,523","5,347.8","98,677","20,183","60,362",20.40%,"59,000,586"
95,italy,2007,485.127,0.18,8.18,"290,439","315,746","5,383.3","93,622","18,619","50,104",17.25%,"58,652,875"
96,italy,2006,492.676,0.19,8.34,"289,735","314,794","5,406.6","89,486","17,630","52,928",18.27%,"58,223,744"
97,italy,2005,498.068,0.19,8.47,"279,271","307,800","5,301.0","85,498","17,604","50,673",18.14%,"58,064,214"
98,italy,2004,496.878,0.20,8.49,"278,252","303,019","5,235.8","81,534","16,959","55,814",20.06%,"57,874,753"
99,italy,2003,485.594,0.19,8.35,"265,781","295,860","5,145.8","78,313","16,580","45,507",17.12%,"57,495,900"
100,italy,2002,465.835,0.19,8.06,"260,568","291,383","5,100.3","76,507","16,009","49,493",18.99%,"57,130,506"
101,italy,2001,457.910,0.18,7.96,"256,072","285,093","5,002.7","76,093","15,544","55,455",21.66%,"56,987,507"
102,italy,2000,457.933,0.19,7.99,"254,004","279,148","4,900.7","75,510","15,204","51,743",20.37%,"56,960,692"
103,italy,1999,455.268,0.19,7.96,"243,915","267,354","4,696.7","72,363","13,417","52,214",21.41%,"56,923,524"
104,italy,1998,448.029,0.19,7.84,"238,669","260,883","4,584.2","71,193","13,058","47,228",19.79%,"56,909,109"
105,italy,1997,437.408,0.19,7.65,"232,367","253,485","4,454.6","69,331","13,060","46,734",20.11%,"56,904,379"
106,italy,1996,433.975,0.19,7.58,"225,575","246,033","4,325.8","67,410","12,999","46,376",20.56%,"56,876,364"
107,italy,1995,439.036,0.20,7.67,"223,763","243,676","4,286.7","65,160","12,964","41,620",18.60%,"56,844,197"
108,italy,1994,414.038,0.19,7.23,"216,413","236,957","4,168.5","63,413","12,864","48,234",22.29%,"56,844,408"
109,italy,1993,420.261,0.20,7.34,"207,754","229,536","4,038.1","62,808","12,788","45,254",21.78%,"56,842,392"
110,italy,1992,426.702,0.20,7.46,"211,296","229,821","4,044.6","60,962","12,718","45,745",21.65%,"56,821,250"
111,italy,1991,429.139,0.20,7.51,"206,449","224,429","3,953.1","57,213","12,692","45,225",21.91%,"56,772,923"
112,italy,1990,430.447,0.21,7.53,"200,811","219,007","3,859.6","55,961","12,582","34,641",17.25%,"56,744,119"
113,italy,1989,427.037,,7.48,"195,290","211,842","3,736.6","55,690","12,547","36,810",18.85%,"56,694,360"
114,italy,1988,408.860,,7.16,"173,751","186,849","3,298.4","56,102","12,495","43,998",25.32%,"56,649,201"
115,italy,1987,403.245,,7.06,"187,607","193,549","3,419.0","55,635","12,435","42,765",22.79%,"56,609,375"
116,italy,1986,383.374,,6.72,"178,341","183,551","3,243.3","54,646","12,419","44,142",24.75%,"56,594,487"
117,italy,1985,382.534,,6.71,"171,861","178,066","3,146.2","55,135","12,160","43,668",25.41%,"56,597,823"
118,italy,1984,382.826,,6.72,"169,876","174,155","3,077.6","53,489","12,166","45,227",26.62%,"56,588,319"
119,italy,1983,376.861,,6.63,"170,440","164,854","2,914.4","50,935","17,125","44,193",25.93%,"56,565,117"
120,italy,1982,381.326,,6.72,"173,030","165,723","2,929.9","49,465","16,877","44,587",25.77%,"56,563,031"
121,italy,1981,389.636,,6.89,"169,761","163,087","2,885.3","47,293","15,766","46,109",27.16%,"56,524,064"
122,italy,1980,400.732,,7.10,"175,413","164,891","2,919.5","46,245","15,826","48,790",27.81%,"56,479,285"
123,spain,2020,214.847,0.13,4.62,"502,797","250,051","5,276.0","110,287","55,492","110,605",22.00%,"47,394,223"
124,spain,2019,255.831,0.13,5.51,"521,658","264,635","5,591.0","110,360","55,333","97,913",18.77%,"47,353,706"
125,spain,2018,275.864,0.15,5.95,"260,982","268,886","5,728.7","104,123","48,656","100,344",38.45%,"47,332,614"
126,spain,2017,280.225,0.15,6.05,"262,306","267,867","5,741.0","104,050","48,143","84,611",32.26%,"47,105,358"
127,spain,2016,264.339,0.15,5.70,"261,836","264,666","5,688.4","104,588","48,061","101,089",38.61%,"46,937,060"
128,spain,2015,273.713,0.16,5.90,"267,454","262,808","5,659.1","105,668","48,016","94,088",35.18%,"46,728,814"
129,spain,2014,257.631,0.15,5.54,"266,512","257,720","5,548.4","105,758","45,868","107,876",40.48%,"46,658,447"
130,spain,2013,260.353,0.16,5.58,"273,286","260,598","5,602.8","105,830","45,788","109,758",40.16%,"46,532,869"
131,spain,2012,287.059,0.17,6.13,"283,119","266,860","5,710.9","105,243","45,101","85,339",30.14%,"46,527,039"
132,spain,2011,293.205,0.17,6.25,"279,354","270,022","5,767.5","102,898","41,953","86,667",31.02%,"46,449,874"
133,spain,2010,291.327,0.17,6.23,"288,527","275,736","5,908.6","101,371","39,545","95,761",33.19%,"46,440,099"
134,spain,2009,304.391,0.18,6.55,"280,074","268,193","5,769.3","97,751","37,902","73,951",26.40%,"46,410,149"
135,spain,2008,344.060,0.19,7.48,"295,894","281,051","6,078.2","94,166","34,835","60,470",20.44%,"46,449,565"
136,spain,2007,375.972,0.21,8.28,"288,137","277,954","6,086.3","88,057","29,487","57,869",20.08%,"46,455,123"
137,spain,2006,362.668,0.21,8.11,"280,296","251,891","5,624.5","81,509","26,712","52,819",18.84%,"46,512,199"
138,spain,2005,371.535,0.22,8.44,"273,428","246,125","5,592.5","76,587","23,481","47,024",17.20%,"46,593,236"
139,spain,2004,356.513,0.22,8.22,"262,328","235,230","5,433.0","69,657","21,848","53,699",20.47%,"46,727,890"
140,spain,2003,340.604,0.22,7.99,"244,185","222,921","5,239.3","71,810","22,045","56,273",23.05%,"46,766,403"
141,spain,2002,332.108,0.22,7.91,"226,021","212,103","5,070.9","60,494","20,913","34,932",15.46%,"46,818,216"
142,spain,2001,314.704,0.21,7.60,"221,134","206,603","5,034.8","55,828","16,469","49,364",22.32%,"46,736,257"
