,countries,Year,CO2 Total Mt,CO2 Kg/1k$,CO2 Tons per capita,Generation GWh,consumption GWh,consumption per capita kW,installed capacity MW,Renewable installed capacity MW,Renewable generation GWh,Renewable percentage %,Population
1,france,2019,319.613,0.1,4.88,545014.0,449235.0,6673.1,137082.0,48533.0,116141.0,21.31,67320216
2,france,2018,327.585,0.11,5.02,551544.0,449957.0,6698.0,133531.0,45874.0,115984.0,21.03,67177636
3,france,2017,336.046,0.11,5.17,533956.0,455228.0,6791.8,133088.0,42864.0,95159.0,17.82,67026224
4,france,2016,331.913,0.11,5.13,536708.0,457729.0,6851.2,133151.0,39908.0,101197.0,18.86,66809816
5,france,2015,329.518,0.11,5.11,551038.0,450835.0,6765.4,132219.0,37827.0,94122.0,17.08,66638391
6,france,2014,323.707,0.11,5.04,543299.0,441582.0,6644.5,130096.0,35580.0,96057.0,17.68,66458153
7,france,2013,356.534,0.13,5.58,551147.0,463901.0,7011.2,130050.0,33713.0,101340.0,18.39,66165980
8,france,2012,361.736,0.13,5.68,543941.0,462316.0,7047.5,130527.0,32099.0,87425.0,16.07,65600350
9,france,2011,360.566,0.13,5.69,543629.0,451021.0,6909.3,127175.0,29795.0,68177.0,12.54,65276983
10,france,2010,378.429,0.14,6.0,540153.0,474026.0,7295.1,124140.0,26724.0,79592.0,14.74,64978721
11,france,2009,370.545,0.14,5.91,507649.0,446837.0,6910.7,118941.0,24300.0,71353.0,14.06,64658856
12,france,2008,383.599,0.14,6.15,544243.0,462774.0,7191.5,117518.0,22822.0,75293.0,13.83,64350226
13,france,2007,390.312,0.14,6.3,538445.0,450019.0,7030.8,116353.0,21392.0,67421.0,12.52,64007193
14,france,2006,397.607,0.15,6.46,542979.0,447833.0,7036.4,115519.0,20494.0,63351.0,11.67,63645065
15,france,2005,407.886,0.16,6.66,544677.0,452118.0,7150.4,115559.0,19698.0,57435.0,10.54,63229635
16,france,2004,404.9,0.16,6.65,540598.0,446957.0,7120.2,116719.0,19335.0,65379.0,12.09,62772870
17,france,2003,404.552,0.16,6.68,533602.0,435439.0,6990.3,116571.0,19217.0,64326.0,12.06,62292241
18,france,2002,400.195,0.16,6.64,526142.0,418210.0,6760.2,116994.0,18940.0,65338.0,12.42,61864088
19,france,2001,405.706,0.16,6.77,519452.0,420453.0,6845.1,116149.0,18656.0,78826.0,15.17,61424036
20,france,2000,401.754,0.17,6.74,509634.0,409744.0,6719.4,114870.0,18552.0,70587.0,13.85,60979315
21,france,1999,403.731,0.17,6.81,494518.0,401221.0,6626.8,113917.0,17947.0,75546.0,15.28,60545022
22,france,1998,410.074,0.18,6.95,482398.0,393359.0,6538.7,111813.0,18024.0,64724.0,13.42,60158533
23,france,1997,388.12,0.18,6.6,476755.0,381735.0,6369.2,113380.0,18018.0,66391.0,13.93,59934884
24,france,1996,396.07,0.19,6.77,483443.0,382650.0,6406.7,109508.0,18000.0,67328.0,13.93,59726386
25,france,1995,381.247,0.18,6.55,467830.0,367839.0,6179.8,107429.0,17898.0,74902.0,16.01,59522297
26,france,1994,372.37,0.18,6.42,452950.0,363556.0,6129.2,107047.0,17902.0,80490.0,17.77,59315139
27,france,1993,377.895,0.19,6.54,447371.0,356080.0,6024.6,107393.0,17837.0,66536.0,14.87,59104320
28,france,1992,397.869,0.2,6.92,437974.0,355161.0,6031.3,105032.0,17767.0,70688.0,16.14,58885929
29,france,1991,409.187,0.21,7.15,428517.0,345386.0,5893.5,104165.0,17655.0,58607.0,13.68,58604851
30,france,1990,385.482,0.2,6.77,396184.0,323043.0,5539.8,103228.0,17717.0,54931.0,13.87,58313439
42,uk,2019,359.419,0.12,5.37,309701.0,304140.0,4537.7,103304.0,47165.0,124898.0,40.33,66647112
43,uk,2018,376.2,0.12,5.65,313504.0,306907.0,4605.0,107839.0,44291.0,114140.0,36.41,66273576
44,uk,2017,384.037,0.13,5.8,317879.0,305804.0,4614.3,108821.0,40278.0,103034.0,32.41,65844142
45,uk,2016,397.637,0.13,6.04,318009.0,309424.0,4699.3,97144.0,35648.0,87833.0,27.62,65379044
46,uk,2015,419.486,0.14,6.41,318625.0,311124.0,4758.8,95827.0,30966.0,87559.0,27.48,64853393
47,uk,2014,434.235,0.15,6.68,316064.0,309137.0,4766.7,96058.0,24935.0,66957.0,21.18,64351203
48,uk,2013,472.204,0.17,7.31,334076.0,321957.0,5003.1,92957.0,19999.0,55159.0,16.51,63905342
49,uk,2012,485.581,0.18,7.56,338603.0,322173.0,5041.4,95332.0,15858.0,43331.0,12.8,63495088
50,uk,2011,462.874,0.17,7.25,342244.0,320476.0,5047.3,93078.0,12728.0,37003.0,10.81,63022532
51,uk,2010,502.02,0.19,7.93,355193.0,330970.0,5251.6,92948.0,9524.0,27564.0,7.76,62510197
52,uk,2009,486.374,0.19,7.75,348969.0,323682.0,5178.1,86739.0,7992.0,26942.0,7.72,62042343
53,uk,2008,536.551,0.2,8.64,360668.0,343588.0,5538.0,84884.0,6859.0,23568.0,6.53,61571647
54,uk,2007,552.345,0.2,8.99,367597.0,344982.0,5602.9,83538.0,5772.0,21451.0,5.84,61073279
55,uk,2006,562.752,0.21,9.26,368400.0,348402.0,5704.7,83629.0,5173.0,20450.0,5.55,60620361
56,uk,2005,562.096,0.22,9.32,370602.0,351022.0,5790.5,82491.0,4792.0,19443.0,5.25,60182050
57,uk,2004,564.29,0.23,9.42,368692.0,343007.0,5699.5,80859.0,3872.0,16263.0,4.41,59793759
58,uk,2003,564.288,0.23,9.47,372596.0,342686.0,5731.1,78670.0,3513.0,13438.0,3.61,59501394
59,uk,2002,549.815,0.23,9.26,362381.0,339832.0,5711.3,76943.0,3116.0,13945.0,3.85,59239564
60,uk,2001,565.449,0.24,9.56,360222.0,338544.0,5714.8,79958.0,3040.0,12028.0,3.34,58999781
61,uk,2000,552.002,0.24,9.36,352537.0,335568.0,5687.6,78397.0,2685.0,10438.0,2.96,58785246
62,uk,1999,546.072,0.25,9.3,343971.0,328353.0,5585.6,74446.0,1477.0,10121.0,2.94,58579685
63,uk,1998,550.168,0.26,9.4,340083.0,322942.0,5512.9,72496.0,1475.0,9181.0,2.7,58394596
64,uk,1997,547.954,0.27,9.39,326543.0,315979.0,5411.1,72210.0,1488.0,7387.0,2.26,58239312
65,uk,1996,571.913,0.3,9.83,328457.0,315792.0,5422.3,72844.0,1455.0,6068.0,1.85,58094587
66,uk,1995,553.935,0.29,9.55,307633.0,297159.0,5115.1,69758.0,1432.0,7235.0,2.35,57943472
