CO2_TotalMt,countries,Year,CO2_Kg1k,CO2_Tons_per_capita,Generation_GWh,consumption_GWh,consumption_per_capita_kW,installed_capacity_MW,Renewable_installed_capacity_MW,Renewable_generation_GWh,Renewable_percentage,Population
319.613,0,2019,0.1,4.88,545014,449235,6673.1,137082,48533,116141,21.31,67320216
327.585,0,2018,0.11,5.02,551544,449957,6698,133531,45874,115984,21.03,67177636
336.046,0,2017,0.11,5.17,533956,455228,6791.8,133088,42864,95159,17.82,67026224
331.913,0,2016,0.11,5.13,536708,457729,6851.2,133151,39908,101197,18.86,66809816
329.518,0,2015,0.11,5.11,551038,450835,6765.4,132219,37827,94122,17.08,66638391
323.707,0,2014,0.11,5.04,543299,441582,6644.5,130096,35580,96057,17.68,66458153
356.534,0,2013,0.13,5.58,551147,463901,7011.2,130050,33713,101340,18.39,66165980
361.736,0,2012,0.13,5.68,543941,462316,7047.5,130527,32099,87425,16.07,65600350
360.566,0,2011,0.13,5.69,543629,451021,6909.3,127175,29795,68177,12.54,65276983
378.429,0,2010,0.14,6,540153,474026,7295.1,124140,26724,79592,14.74,64978721
370.545,0,2009,0.14,5.91,507649,446837,6910.7,118941,24300,71353,14.06,64658856
383.599,0,2008,0.14,6.15,544243,462774,7191.5,117518,22822,75293,13.83,64350226
390.312,0,2007,0.14,6.3,538445,450019,7030.8,116353,21392,67421,12.52,64007193
397.607,0,2006,0.15,6.46,542979,447833,7036.4,115519,20494,63351,11.67,63645065
407.886,0,2005,0.16,6.66,544677,452118,7150.4,115559,19698,57435,10.54,63229635
404.9,0,2004,0.16,6.65,540598,446957,7120.2,116719,19335,65379,12.09,62772870
404.552,0,2003,0.16,6.68,533602,435439,6990.3,116571,19217,64326,12.06,62292241
400.195,0,2002,0.16,6.64,526142,418210,6760.2,116994,18940,65338,12.42,61864088
405.706,0,2001,0.16,6.77,519452,420453,6845.1,116149,18656,78826,15.17,61424036
401.754,0,2000,0.17,6.74,509634,409744,6719.4,114870,18552,70587,13.85,60979315
403.731,0,1999,0.17,6.81,494518,401221,6626.8,113917,17947,75546,15.28,60545022
410.074,0,1998,0.18,6.95,482398,393359,6538.7,111813,18024,64724,13.42,60158533
388.12,0,1997,0.18,6.6,476755,381735,6369.2,113380,18018,66391,13.93,59934884
396.07,0,1996,0.19,6.77,483443,382650,6406.7,109508,18000,67328,13.93,59726386
381.247,0,1995,0.18,6.55,467830,367839,6179.8,107429,17898,74902,16.01,59522297
372.37,0,1994,0.18,6.42,452950,363556,6129.2,107047,17902,80490,17.77,59315139
377.895,0,1993,0.19,6.54,447371,356080,6024.6,107393,17837,66536,14.87,59104320
397.869,0,1992,0.2,6.92,437974,355161,6031.3,105032,17767,70688,16.14,58885929
409.187,0,1991,0.21,7.15,428517,345386,5893.5,104165,17655,58607,13.68,58604851
385.482,0,1990,0.2,6.77,396184,323043,5539.8,103228,17717,54931,13.87,58313439
359.419,1,2019,0.12,5.37,309701,304140,4537.7,103304,47165,124898,40.33,66647112
376.2,1,2018,0.12,5.65,313504,306907,4605,107839,44291,114140,36.41,66273576
384.037,1,2017,0.13,5.8,317879,305804,4614.3,108821,40278,103034,32.41,65844142
397.637,1,2016,0.13,6.04,318009,309424,4699.3,97144,35648,87833,27.62,65379044
419.486,1,2015,0.14,6.41,318625,311124,4758.8,95827,30966,87559,27.48,64853393
434.235,1,2014,0.15,6.68,316064,309137,4766.7,96058,24935,66957,21.18,64351203
472.204,1,2013,0.17,7.31,334076,321957,5003.1,92957,19999,55159,16.51,63905342
485.581,1,2012,0.18,7.56,338603,322173,5041.4,95332,15858,43331,12.8,63495088
462.874,1,2011,0.17,7.25,342244,320476,5047.3,93078,12728,37003,10.81,63022532
502.02,1,2010,0.19,7.93,355193,330970,5251.6,92948,9524,27564,7.76,62510197
486.374,1,2009,0.19,7.75,348969,323682,5178.1,86739,7992,26942,7.72,62042343
536.551,1,2008,0.2,8.64,360668,343588,5538,84884,6859,23568,6.53,61571647
552.345,1,2007,0.2,8.99,367597,344982,5602.9,83538,5772,21451,5.84,61073279
562.752,1,2006,0.21,9.26,368400,348402,5704.7,83629,5173,20450,5.55,60620361
562.096,1,2005,0.22,9.32,370602,351022,5790.5,82491,4792,19443,5.25,60182050
564.29,1,2004,0.23,9.42,368692,343007,5699.5,80859,3872,16263,4.41,59793759
564.288,1,2003,0.23,9.47,372596,342686,5731.1,78670,3513,13438,3.61,59501394
549.815,1,2002,0.23,9.26,362381,339832,5711.3,76943,3116,13945,3.85,59239564
565.449,1,2001,0.24,9.56,360222,338544,5714.8,79958,3040,12028,3.34,58999781
552.002,1,2000,0.24,9.36,352537,335568,5687.6,78397,2685,10438,2.96,58785246
546.072,1,1999,0.25,9.3,343971,328353,5585.6,74446,1477,10121,2.94,58579685
550.168,1,1998,0.26,9.4,340083,322942,5512.9,72496,1475,9181,2.7,58394596
547.954,1,1997,0.27,9.39,326543,315979,5411.1,72210,1488,7387,2.26,58239312
571.913,1,1996,0.3,9.83,328457,315792,5422.3,72844,1455,6068,1.85,58094587
553.935,1,1995,0.29,9.55,307633,297159,5115.1,69758,1432,7235,2.35,57943472
561.848,1,1994,0.3,9.72,302355,287214,4956.8,68184,1425,7255,2.4,57788017
566.436,1,1993,0.32,9.83,300042,293930,5086.4,68113,1425,5819,1.94,57649210
582.445,1,1992,0.34,10.13,299641,292523,5074.2,67511,1423,6407,2.14,57511594
596.085,1,1991,0.35,10.4,301413,291603,5070.3,70315,1415,5321,1.77,57338199
587.938,1,1990,0.34,10.28,297670,284384,4959.8,73082,1110,5806,1.95,57156972
332.855,2,2019,0.13,5.62,283008,303331,5085.9,115462,52117,117946,41.68,59641488
342.231,2,2018,0.13,5.77,276287,302198,5052.1,115226,50564,116592,42.2,59816673
347.702,2,2017,0.14,5.86,281410,300503,4968.3,114248,49528,106310,37.78,60483973
351.455,2,2016,0.14,5.91,275928,294202,4855.7,114168,48641,110490,40.04,60589445
355.803,2,2015,0.15,5.98,270097,296758,4891.7,116964,47565,111120,41.14,60665551
345.765,2,2014,0.14,5.8,267184,291449,4793.9,121683,46672,122738,45.94,60795612
364.339,2,2013,0.15,6.11,276053,297004,4886.3,124515,46010,114171,41.36,60782668
397.044,2,2012,0.16,6.65,283821,305924,5125.6,124599,43824,94596,33.33,59685227
418.003,2,2011,0.16,6.99,286582,311466,5244.1,118806,37934,85490,29.83,59394207
426.993,2,2010,0.17,7.15,283835,307425,5178.6,106610,26607,79245,27.92,59364690
417.59,2,2009,0.17,7,273349,297956,5033.9,101569,22880,71139,26.03,59190143
469.859,2,2008,0.18,7.9,295932,315523,5347.8,98677,20183,60362,20.4,59000586
485.127,2,2007,0.18,8.18,290439,315746,5383.3,93622,18619,50104,17.25,58652875
492.676,2,2006,0.19,8.34,289735,314794,5406.6,89486,17630,52928,18.27,58223744
498.068,2,2005,0.19,8.47,279271,307800,5301,85498,17604,50673,18.14,58064214
496.878,2,2004,0.2,8.49,278252,303019,5235.8,81534,16959,55814,20.06,57874753
485.594,2,2003,0.19,8.35,265781,295860,5145.8,78313,16580,45507,17.12,57495900
465.835,2,2002,0.19,8.06,260568,291383,5100.3,76507,16009,49493,18.99,57130506
457.91,2,2001,0.18,7.96,256072,285093,5002.7,76093,15544,55455,21.66,56987507
457.933,2,2000,0.19,7.99,254004,279148,4900.7,75510,15204,51743,20.37,56960692
455.268,2,1999,0.19,7.96,243915,267354,4696.7,72363,13417,52214,21.41,56923524
448.029,2,1998,0.19,7.84,238669,260883,4584.2,71193,13058,47228,19.79,56909109
437.408,2,1997,0.19,7.65,232367,253485,4454.6,69331,13060,46734,20.11,56904379
433.975,2,1996,0.19,7.58,225575,246033,4325.8,67410,12999,46376,20.56,56876364
439.036,2,1995,0.2,7.67,223763,243676,4286.7,65160,12964,41620,18.6,56844197
414.038,2,1994,0.19,7.23,216413,236957,4168.5,63413,12864,48234,22.29,56844408
420.261,2,1993,0.2,7.34,207754,229536,4038.1,62808,12788,45254,21.78,56842392
426.702,2,1992,0.2,7.46,211296,229821,4044.6,60962,12718,45745,21.65,56821250
429.139,2,1991,0.2,7.51,206449,224429,3953.1,57213,12692,45225,21.91,56772923
430.447,2,1990,0.21,7.53,200811,219007,3859.6,55961,12582,34641,17.25,56744119
255.831,3,2019,0.13,5.51,521658,264635,5591,110360,55333,97913,18.77,47353706
275.864,3,2018,0.15,5.95,260982,268886,5728.7,104123,48656,100344,38.45,47332614
280.225,3,2017,0.15,6.05,262306,267867,5741,104050,48143,84611,32.26,47105358
264.339,3,2016,0.15,5.7,261836,264666,5688.4,104588,48061,101089,38.61,46937060
273.713,3,2015,0.16,5.9,267454,262808,5659.1,105668,48016,94088,35.18,46728814
257.631,3,2014,0.15,5.54,266512,257720,5548.4,105758,45868,107876,40.48,46658447
